source_base_id,artifact_base,source_id,resource,prompt,match_score,mapping_status
TT-SCN-01,configures_aws_as_the_cloud_provider_it_defines_an,65,"aws_network_acl, aws_vpc",configures AWS as the cloud provider. It defines an AWS VPC with a specific CIDR block of 10.0.0.0/16 and a network ACL linked to this VPC that allows specific TCP traffic for both ingress and egress rules.,1.0000,AUTO_MATCH
TT-SCN-02,create_a_s3_bucket_and_a_second_s3_bucket_then_cre,34,"aws_s3_bucket, aws_s3_bucket, aws_s3_bucket_logging","Create a S3 bucket and a second S3 bucket. Then create an example logging resource for the first S3 bucket that stores logs in the second bucket. Make sure the log object keys have a prefix of ""log/"".",1.0000,AUTO_MATCH
TT-SCN-03,create_a_s3_bucket_and_an_example_public_access_bl,36,"aws_s3_bucket, aws_s3_bucket_public_access_block",Create a S3 bucket and an example public access block resource for the S3 bucket.,1.0000,AUTO_MATCH
TT-SCN-04,create_a_s3_bucket_with_bucket_name_mybucket_and_o,24,"aws_s3_bucket, aws_s3_bucket_object_lock_configuration","Create a S3 bucket with bucket name = ""mybucket"" and object lock enabled. Then, add an object lock configuration resource for the new bucket.",1.0000,AUTO_MATCH
TT-SCN-05,create_a_terraform_configuration_for_an_aws_enviro,5,"aws_kms_key, aws_s3_bucket, aws_s3_bucket_server_side_encryption_configuration","Create a Terraform configuration for an AWS environment. Start by defining a KMS key with a specific description and a set deletion window in days. Next, define an S3 bucket with a specified name. Finally, configure server-side encryption for the S3 bucket using the previously defined KMS key. The encryption should use the KMS algorithm specified in AWS. Include resource blocks for each component and ensure the bucket encryption references the KMS key's ARN and uses the KMS algorithm for encryption.",1.0000,AUTO_MATCH
TT-SCN-06,create_an_aws_s3_bucket_and_apply_kms_server_side,20,"aws_kms_key, aws_s3_bucket, aws_s3_bucket_server_side_encryption_configuration",Create an AWS S3 bucket and apply KMS server side encryption that uses a defined KMS key resource.,1.0000,AUTO_MATCH
TT-SCN-07,create_an_aws_s3_bucket_for_cloudgoat_data_storage,78,"aws_s3_bucket, aws_s3_bucket, aws_s3_bucket_acl, aws_s3_bucket_ownership_controls, aws_s3_bucket_policy, aws_s3_bucket_public_access_block","Create an AWS S3 bucket for CloudGoat data storage, with a dynamic bucket name incorporating the bucket_suffix ""test"" from a variable. Configure the bucket with private ACLs and ownership controls for ObjectWriter access. Set up another S3 bucket for web data storage with a similar dynamic name. Upload an object 'order_data2.csv' to the web data bucket from a local file path. Implement public access block settings for the web data bucket to ignore public ACLs, block public ACLs, and restrict public buckets. Lastly, create a bucket policy allowing 's3:PutObject' action for all principals on the web data bucket's objects.",1.0000,AUTO_MATCH
TT-SCN-08,create_an_aws_s3_bucket_named_my_bucket_and_define,43,"aws_s3_bucket, aws_s3_bucket_policy","Create an AWS S3 bucket named 'my_bucket' and define an S3 bucket policy to deny access from a specific IP address. Ensure that the S3 bucket policy includes a version number, an identifier, and a statement that denies all S3 actions for the specified IP address. Use the 'jsonencode' function to encode the policy in JSON format.",1.0000,AUTO_MATCH
TT-SCN-09,create_an_aws_s3_bucket_named_test_bucket_with_pre,73,"aws_s3_bucket, aws_s3_bucket_acl, aws_s3_bucket_public_access_block, aws_s3_bucket_server_side_encryption_configuration","Create an AWS S3 bucket named 'test-bucket' with preventive destruction measures, private ACLs, AES256 server-side encryption, and a public access block restricting public access.",1.0000,AUTO_MATCH
TT-SCN-10,create_an_aws_vpc_resource_with_a_subnet_and_assoc,46,"aws_network_acl, aws_subnet, aws_vpc",Create an AWS VPC resource with a subnet and associated network ACLs to control both ingress and egress traffic,1.0000,AUTO_MATCH
