check_id,check_namespace,check_name,finding_count,artifact_count,scenario_count,resource_type_count,resource_types,complexities,model_count,models,example_resource,security_domain,context_sensitive,include_research_scope,review_note,research_priority,selection_reason
CKV2_AWS_6,CKV2_AWS,Ensure that S3 bucket has a Public Access block,26,21,6,1,aws_s3_bucket,complex|simple,11,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o|gpt-5|gpt-5-thinking|llama3|mistral,aws_s3_bucket.primary,Data Protection,True,True,,primary,S3 public-access controls depend strongly on bucket purpose and data sensitivity.
CKV_AWS_145,CKV_AWS,Ensure that S3 buckets are encrypted with KMS by default,30,25,7,1,aws_s3_bucket,complex|simple,11,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o|gpt-5|gpt-5-thinking|llama3|mistral,aws_s3_bucket.static_assets_primary,Data Protection,True,True,,primary,KMS encryption importance changes with data sensitivity and compliance context.
CKV2_AWS_11,CKV2_AWS,Ensure VPC flow logging is enabled in all VPCs,55,48,9,1,aws_vpc,complex|simple,10,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o|gpt-5|gpt-5-thinking|llama3,aws_vpc.main,Detection / Observability,True,True,,primary,"Flow logging importance depends on environment, monitoring controls and compliance requirements."
CKV_AWS_290,CKV_AWS,Ensure IAM policies does not allow write access without constraints,18,12,5,2,aws_iam_policy|aws_iam_role_policy,complex,6,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash,aws_iam_policy.karpenter_controller,IAM / Authorization,True,True,,primary,Unconstrained write access risk changes with resource criticality and trust boundary.
CKV_AWS_355,CKV_AWS,"Ensure no IAM policies documents allow ""*"" as a statement's resource for restrictable actions",21,12,5,2,aws_iam_policy|aws_iam_role_policy,complex,6,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash,aws_iam_policy.karpenter_controller,IAM / Authorization,True,True,,primary,"Wildcard resource risk depends on permission scope, account boundary and asset criticality."
CKV_AWS_130,CKV_AWS,Ensure VPC subnets do not assign public IP by default,87,42,8,1,aws_subnet,complex|simple,10,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o|gpt-5|gpt-5-thinking|llama3,aws_subnet.public[0],Network Exposure,True,True,,primary,"Public IP assignment risk depends on subnet role, workload exposure and environment."
CKV_AWS_260,CKV_AWS,Ensure no security groups allow ingress from 0.0.0.0:0 to port 80,21,14,3,1,aws_security_group,complex|simple,7,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o,aws_security_group.primary_alb,Network Exposure,True,True,,primary,Public HTTP ingress may be intended for a frontend but inappropriate for internal services.
CKV_AWS_38,CKV_AWS,Ensure Amazon EKS public endpoint not accessible to 0.0.0.0/0,16,12,3,1,aws_eks_cluster,complex|simple,7,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o,aws_eks_cluster.main,Network Exposure,True,True,,primary,"EKS public endpoint exposure depends on environment, access restrictions and controls."
CKV_AWS_382,CKV_AWS,Ensure no security groups allow egress from 0.0.0.0:0 to port -1,83,36,8,2,aws_security_group|aws_security_group_rule,complex|simple,9,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o|gpt-5|gpt-5-thinking,aws_security_group_rule.cluster_egress,Network Exposure,True,True,,primary,"Unrestricted egress risk depends on workload role, destination constraints and controls."
CKV_AWS_117,CKV_AWS,Ensure that AWS Lambda function is configured inside a VPC,12,12,3,1,aws_lambda_function,complex|simple,7,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|gemini-3.1-pro|gemini-3.7-flash|gpt-5|gpt-5-thinking,aws_lambda_function.failover_orchestrator,Workload Isolation,True,True,,primary,Lambda outside a VPC is not universally unsafe; risk depends on workload and connectivity needs.
