check_id,check_namespace,check_name,finding_count,artifact_count,scenario_count,resource_type_count,resource_types,complexities,model_count,models,example_resource,security_domain,context_sensitive,include_research_scope,review_note
CKV2_AWS_12,CKV2_AWS,Ensure the default security group of every VPC restricts all traffic,69,50,10,1,aws_vpc,complex|simple,10,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o|gpt-5|gpt-5-thinking|llama3,aws_vpc.main,,,,
CKV2_AWS_11,CKV2_AWS,Ensure VPC flow logging is enabled in all VPCs,55,48,9,1,aws_vpc,complex|simple,10,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o|gpt-5|gpt-5-thinking|llama3,aws_vpc.main,,,,
CKV_AWS_130,CKV_AWS,Ensure VPC subnets do not assign public IP by default,87,42,8,1,aws_subnet,complex|simple,10,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o|gpt-5|gpt-5-thinking|llama3,aws_subnet.public[0],,,,
CKV_AWS_382,CKV_AWS,Ensure no security groups allow egress from 0.0.0.0:0 to port -1,83,36,8,2,aws_security_group|aws_security_group_rule,complex|simple,9,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o|gpt-5|gpt-5-thinking,aws_security_group_rule.cluster_egress,,,,
CKV2_AWS_62,CKV2_AWS,Ensure S3 buckets should have event notifications enabled,68,36,8,1,aws_s3_bucket,complex|simple,11,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o|gpt-5|gpt-5-thinking|llama3|mistral,aws_s3_bucket.primary_alb_logs,,,,
CKV_AWS_18,CKV_AWS,Ensure the S3 bucket has access logging enabled,66,35,8,1,aws_s3_bucket,complex|simple,11,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o|gpt-5|gpt-5-thinking|llama3|mistral,aws_s3_bucket.primary_alb_logs,,,,
CKV_AWS_144,CKV_AWS,Ensure that S3 bucket has cross-region replication enabled,60,32,7,1,aws_s3_bucket,complex|simple,11,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o|gpt-5|gpt-5-thinking|llama3|mistral,aws_s3_bucket.primary_alb_logs,,,,
CKV2_AWS_61,CKV2_AWS,Ensure that an S3 bucket has a lifecycle configuration,50,26,6,1,aws_s3_bucket,complex|simple,11,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o|gpt-5|gpt-5-thinking|llama3|mistral,aws_s3_bucket.primary_alb_logs,,,,
CKV_AWS_145,CKV_AWS,Ensure that S3 buckets are encrypted with KMS by default,30,25,7,1,aws_s3_bucket,complex|simple,11,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o|gpt-5|gpt-5-thinking|llama3|mistral,aws_s3_bucket.static_assets_primary,,,,
CKV2_AWS_6,CKV2_AWS,Ensure that S3 bucket has a Public Access block,26,21,6,1,aws_s3_bucket,complex|simple,11,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o|gpt-5|gpt-5-thinking|llama3|mistral,aws_s3_bucket.primary,,,,
CKV_AWS_23,CKV_AWS,Ensure every security group and rule has a description,65,19,7,4,aws_security_group|aws_security_group_rule|aws_vpc_security_group_egress_rule|aws_vpc_security_group_ingress_rule,complex|simple,7,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|gemini-3.1-pro|gemini-3.7-flash|gpt-4o|llama3,aws_security_group.cluster,,,,
CKV_AWS_338,CKV_AWS,Ensure CloudWatch log groups retains logs for at least 1 year,32,18,7,1,aws_cloudwatch_log_group,complex|simple,7,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.7-flash|gpt-5|gpt-5-thinking,aws_cloudwatch_log_group.eks,,,,
CKV_AWS_21,CKV_AWS,Ensure all data stored in the S3 bucket have versioning enabled,27,17,5,1,aws_s3_bucket,complex|simple,10,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o|gpt-5|gpt-5-thinking|mistral,aws_s3_bucket.primary_alb_logs,,,,
CKV_AWS_158,CKV_AWS,Ensure that CloudWatch Log Group is encrypted by KMS,28,15,7,1,aws_cloudwatch_log_group,complex|simple,6,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gpt-5|gpt-5-thinking,aws_cloudwatch_log_group.eks,,,,
CKV_AWS_260,CKV_AWS,Ensure no security groups allow ingress from 0.0.0.0:0 to port 80,21,14,3,1,aws_security_group,complex|simple,7,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o,aws_security_group.primary_alb,,,,
CKV_AWS_118,CKV_AWS,Ensure that enhanced monitoring is enabled for Amazon RDS instances,24,13,4,2,aws_db_instance|aws_rds_cluster_instance,complex|simple,8,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-5|llama3,aws_rds_cluster_instance.primary[0],,,,
CKV2_AWS_64,CKV2_AWS,Ensure KMS key Policy is defined,23,13,7,1,aws_kms_key,complex|simple,6,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.7-flash|gpt-5-thinking,aws_kms_key.eks,,,,
CKV_AWS_157,CKV_AWS,Ensure that RDS instances have Multi-AZ enabled,13,13,2,1,aws_db_instance,complex|simple,9,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-5|gpt-5-thinking|llama3,aws_db_instance.dr_replica,,,,
CKV_AWS_355,CKV_AWS,"Ensure no IAM policies documents allow ""*"" as a statement's resource for restrictable actions",21,12,5,2,aws_iam_policy|aws_iam_role_policy,complex,6,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash,aws_iam_policy.karpenter_controller,,,,
CKV_AWS_290,CKV_AWS,Ensure IAM policies does not allow write access without constraints,18,12,5,2,aws_iam_policy|aws_iam_role_policy,complex,6,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash,aws_iam_policy.karpenter_controller,,,,
CKV_AWS_38,CKV_AWS,Ensure Amazon EKS public endpoint not accessible to 0.0.0.0/0,16,12,3,1,aws_eks_cluster,complex|simple,7,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o,aws_eks_cluster.main,,,,
CKV_AWS_39,CKV_AWS,Ensure Amazon EKS public endpoint disabled,16,12,3,1,aws_eks_cluster,complex|simple,7,claude-opus-4-6|claude-opus-4-6-cot|claude-opus-4-6-thinking|claude-sonnet-4-6|gemini-3.1-pro|gemini-3.7-flash|gpt-4o,aws_eks_cluster.main,,,,
