candidate_id,stage,model,scenario_id,base_scenario_id,run_id,artifact_path,ai_generated,selection_status,technical_validation,license_status,notes
AIG-00004,llm_generation,claude-opus-4-5,configures_aws_as_the_cloud_provider_it_defines_an_with_security_detailed_zero_shot,configures_aws_as_the_cloud_provider_it_defines_an,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/configures_aws_as_the_cloud_provider_it_defines_an_with_security_detailed_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-01536,slm_generation,llama-codellama-13b,configures_aws_as_the_cloud_provider_it_defines_an_without_security_zero_shot,configures_aws_as_the_cloud_provider_it_defines_an,run_1,slm/pipeline_artifacts/generate___llama-codellama-13b__1_/artifacts/llama-codellama-13b/configures_aws_as_the_cloud_provider_it_defines_an_without_security_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00526,llm_generation,gemini-2.5-pro,create_a_s3_bucket_and_an_example_public_access_bl_with_security_detailed_zero_shot,create_a_s3_bucket_and_an_example_public_access_bl,run_1,llm/pipeline_artifacts/generate___gemini-2.5-pro__1_/artifacts/gemini-2.5-pro/create_a_s3_bucket_and_an_example_public_access_bl_with_security_detailed_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-02058,slm_generation,llama-magicoder-s-cl-7b,create_a_s3_bucket_and_an_example_public_access_bl_without_security_zero_shot,create_a_s3_bucket_and_an_example_public_access_bl,run_1,slm/pipeline_artifacts/generate___llama-magicoder-s-cl-7b__1_/artifacts/llama-magicoder-s-cl-7b/create_a_s3_bucket_and_an_example_public_access_bl_without_security_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-01054,llm_generation,gpt-5.4,create_an_aws_s3_bucket_and_apply_kms_server_side_with_security_detailed_zero_shot,create_an_aws_s3_bucket_and_apply_kms_server_side,run_1,llm/pipeline_artifacts/generate___gpt-5.4__1_/artifacts/gpt-5.4/create_an_aws_s3_bucket_and_apply_kms_server_side_with_security_detailed_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-02586,slm_generation,llama-qwen2.5-coder-14b,create_an_aws_s3_bucket_and_apply_kms_server_side_without_security_zero_shot,create_an_aws_s3_bucket_and_apply_kms_server_side,run_1,slm/pipeline_artifacts/generate___llama-qwen2.5-coder-14b__1_/artifacts/llama-qwen2.5-coder-14b/create_an_aws_s3_bucket_and_apply_kms_server_side_without_security_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-01570,slm_generation,llama-codellama-13b,create_an_aws_s3_bucket_for_cloudgoat_data_storage_with_security_detailed_zero_shot,create_an_aws_s3_bucket_for_cloudgoat_data_storage,run_1,slm/pipeline_artifacts/generate___llama-codellama-13b__1_/artifacts/llama-codellama-13b/create_an_aws_s3_bucket_for_cloudgoat_data_storage_with_security_detailed_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-03102,slm_generation,llama-wizardcoder-33b,create_an_aws_s3_bucket_for_cloudgoat_data_storage_without_security_zero_shot,create_an_aws_s3_bucket_for_cloudgoat_data_storage,run_1,slm/pipeline_artifacts/generate___llama-wizardcoder-33b__1_/artifacts/llama-wizardcoder-33b/create_an_aws_s3_bucket_for_cloudgoat_data_storage_without_security_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-02104,slm_generation,llama-magicoder-s-cl-7b,create_an_aws_vpc_resource_with_an_example_cidr_bl_with_security_detailed_zero_shot,create_an_aws_vpc_resource_with_an_example_cidr_bl,run_1,slm/pipeline_artifacts/generate___llama-magicoder-s-cl-7b__1_/artifacts/llama-magicoder-s-cl-7b/create_an_aws_vpc_resource_with_an_example_cidr_bl_with_security_detailed_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00066,llm_generation,claude-opus-4-5,create_an_aws_vpc_resource_with_an_example_cidr_bl_without_security_zero_shot,create_an_aws_vpc_resource_with_an_example_cidr_bl,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/create_an_aws_vpc_resource_with_an_example_cidr_bl_without_security_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-02626,slm_generation,llama-qwen2.5-coder-14b,create_an_aws_vpc_resource_with_one_public_subnet_with_security_detailed_zero_shot,create_an_aws_vpc_resource_with_one_public_subnet,run_1,slm/pipeline_artifacts/generate___llama-qwen2.5-coder-14b__1_/artifacts/llama-qwen2.5-coder-14b/create_an_aws_vpc_resource_with_one_public_subnet_with_security_detailed_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00588,llm_generation,gemini-2.5-pro,create_an_aws_vpc_resource_with_one_public_subnet_without_security_zero_shot,create_an_aws_vpc_resource_with_one_public_subnet,run_1,llm/pipeline_artifacts/generate___gemini-2.5-pro__1_/artifacts/gemini-2.5-pro/create_an_aws_vpc_resource_with_one_public_subnet_without_security_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-03130,slm_generation,llama-wizardcoder-33b,create_an_aws_vpc_resource_with_an_internet_gatewa_with_security_detailed_zero_shot,create_an_aws_vpc_resource_with_an_internet_gatewa,run_1,slm/pipeline_artifacts/generate___llama-wizardcoder-33b__1_/artifacts/llama-wizardcoder-33b/create_an_aws_vpc_resource_with_an_internet_gatewa_with_security_detailed_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-01092,llm_generation,gpt-5.4,create_an_aws_vpc_resource_with_an_internet_gatewa_without_security_zero_shot,create_an_aws_vpc_resource_with_an_internet_gatewa,run_1,llm/pipeline_artifacts/generate___gpt-5.4__1_/artifacts/gpt-5.4/create_an_aws_vpc_resource_with_an_internet_gatewa_without_security_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00100,llm_generation,claude-opus-4-5,set_up_a_vpc_in_the_aws_region_with_two_subnets_in_with_security_detailed_zero_shot,set_up_a_vpc_in_the_aws_region_with_two_subnets_in,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/set_up_a_vpc_in_the_aws_region_with_two_subnets_in_with_security_detailed_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-01632,slm_generation,llama-codellama-13b,set_up_a_vpc_in_the_aws_region_with_two_subnets_in_without_security_zero_shot,set_up_a_vpc_in_the_aws_region_with_two_subnets_in,run_1,slm/pipeline_artifacts/generate___llama-codellama-13b__1_/artifacts/llama-codellama-13b/set_up_a_vpc_in_the_aws_region_with_two_subnets_in_without_security_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
