candidate_id,stage,model,scenario_id,base_scenario_id,run_id,artifact_path,ai_generated,selection_status,technical_validation,license_status,notes
AIG-00001,llm_generation,claude-opus-4-5,configures_aws_as_the_cloud_provider_it_defines_an_with_security_basic_few_shot,configures_aws_as_the_cloud_provider_it_defines_an,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/configures_aws_as_the_cloud_provider_it_defines_an_with_security_basic_few_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00002,llm_generation,claude-opus-4-5,configures_aws_as_the_cloud_provider_it_defines_an_with_security_basic_zero_shot,configures_aws_as_the_cloud_provider_it_defines_an,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/configures_aws_as_the_cloud_provider_it_defines_an_with_security_basic_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00003,llm_generation,claude-opus-4-5,configures_aws_as_the_cloud_provider_it_defines_an_with_security_detailed_few_shot,configures_aws_as_the_cloud_provider_it_defines_an,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/configures_aws_as_the_cloud_provider_it_defines_an_with_security_detailed_few_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00004,llm_generation,claude-opus-4-5,configures_aws_as_the_cloud_provider_it_defines_an_with_security_detailed_zero_shot,configures_aws_as_the_cloud_provider_it_defines_an,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/configures_aws_as_the_cloud_provider_it_defines_an_with_security_detailed_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00005,llm_generation,claude-opus-4-5,configures_aws_as_the_cloud_provider_it_defines_an_without_security_few_shot,configures_aws_as_the_cloud_provider_it_defines_an,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/configures_aws_as_the_cloud_provider_it_defines_an_without_security_few_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00006,llm_generation,claude-opus-4-5,configures_aws_as_the_cloud_provider_it_defines_an_without_security_zero_shot,configures_aws_as_the_cloud_provider_it_defines_an,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/configures_aws_as_the_cloud_provider_it_defines_an_without_security_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00007,llm_generation,claude-opus-4-5,create_a_s3_bucket_and_a_second_s3_bucket_then_cre_with_security_basic_few_shot,create_a_s3_bucket_and_a_second_s3_bucket_then_cre,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/create_a_s3_bucket_and_a_second_s3_bucket_then_cre_with_security_basic_few_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00008,llm_generation,claude-opus-4-5,create_a_s3_bucket_and_a_second_s3_bucket_then_cre_with_security_basic_zero_shot,create_a_s3_bucket_and_a_second_s3_bucket_then_cre,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/create_a_s3_bucket_and_a_second_s3_bucket_then_cre_with_security_basic_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00009,llm_generation,claude-opus-4-5,create_a_s3_bucket_and_a_second_s3_bucket_then_cre_with_security_detailed_few_shot,create_a_s3_bucket_and_a_second_s3_bucket_then_cre,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/create_a_s3_bucket_and_a_second_s3_bucket_then_cre_with_security_detailed_few_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00010,llm_generation,claude-opus-4-5,create_a_s3_bucket_and_a_second_s3_bucket_then_cre_with_security_detailed_zero_shot,create_a_s3_bucket_and_a_second_s3_bucket_then_cre,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/create_a_s3_bucket_and_a_second_s3_bucket_then_cre_with_security_detailed_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00011,llm_generation,claude-opus-4-5,create_a_s3_bucket_and_a_second_s3_bucket_then_cre_without_security_few_shot,create_a_s3_bucket_and_a_second_s3_bucket_then_cre,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/create_a_s3_bucket_and_a_second_s3_bucket_then_cre_without_security_few_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00012,llm_generation,claude-opus-4-5,create_a_s3_bucket_and_a_second_s3_bucket_then_cre_without_security_zero_shot,create_a_s3_bucket_and_a_second_s3_bucket_then_cre,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/create_a_s3_bucket_and_a_second_s3_bucket_then_cre_without_security_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00013,llm_generation,claude-opus-4-5,create_a_s3_bucket_and_an_example_public_access_bl_with_security_basic_few_shot,create_a_s3_bucket_and_an_example_public_access_bl,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/create_a_s3_bucket_and_an_example_public_access_bl_with_security_basic_few_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00014,llm_generation,claude-opus-4-5,create_a_s3_bucket_and_an_example_public_access_bl_with_security_basic_zero_shot,create_a_s3_bucket_and_an_example_public_access_bl,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/create_a_s3_bucket_and_an_example_public_access_bl_with_security_basic_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00015,llm_generation,claude-opus-4-5,create_a_s3_bucket_and_an_example_public_access_bl_with_security_detailed_few_shot,create_a_s3_bucket_and_an_example_public_access_bl,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/create_a_s3_bucket_and_an_example_public_access_bl_with_security_detailed_few_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00016,llm_generation,claude-opus-4-5,create_a_s3_bucket_and_an_example_public_access_bl_with_security_detailed_zero_shot,create_a_s3_bucket_and_an_example_public_access_bl,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/create_a_s3_bucket_and_an_example_public_access_bl_with_security_detailed_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00017,llm_generation,claude-opus-4-5,create_a_s3_bucket_and_an_example_public_access_bl_without_security_few_shot,create_a_s3_bucket_and_an_example_public_access_bl,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/create_a_s3_bucket_and_an_example_public_access_bl_without_security_few_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00018,llm_generation,claude-opus-4-5,create_a_s3_bucket_and_an_example_public_access_bl_without_security_zero_shot,create_a_s3_bucket_and_an_example_public_access_bl,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/create_a_s3_bucket_and_an_example_public_access_bl_without_security_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00019,llm_generation,claude-opus-4-5,create_a_s3_bucket_with_bucket_name_mybucket_and_o_with_security_basic_few_shot,create_a_s3_bucket_with_bucket_name_mybucket_and_o,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/create_a_s3_bucket_with_bucket_name_mybucket_and_o_with_security_basic_few_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00020,llm_generation,claude-opus-4-5,create_a_s3_bucket_with_bucket_name_mybucket_and_o_with_security_basic_zero_shot,create_a_s3_bucket_with_bucket_name_mybucket_and_o,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/create_a_s3_bucket_with_bucket_name_mybucket_and_o_with_security_basic_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00021,llm_generation,claude-opus-4-5,create_a_s3_bucket_with_bucket_name_mybucket_and_o_with_security_detailed_few_shot,create_a_s3_bucket_with_bucket_name_mybucket_and_o,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/create_a_s3_bucket_with_bucket_name_mybucket_and_o_with_security_detailed_few_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00022,llm_generation,claude-opus-4-5,create_a_s3_bucket_with_bucket_name_mybucket_and_o_with_security_detailed_zero_shot,create_a_s3_bucket_with_bucket_name_mybucket_and_o,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/create_a_s3_bucket_with_bucket_name_mybucket_and_o_with_security_detailed_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00023,llm_generation,claude-opus-4-5,create_a_s3_bucket_with_bucket_name_mybucket_and_o_without_security_few_shot,create_a_s3_bucket_with_bucket_name_mybucket_and_o,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/create_a_s3_bucket_with_bucket_name_mybucket_and_o_without_security_few_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
AIG-00024,llm_generation,claude-opus-4-5,create_a_s3_bucket_with_bucket_name_mybucket_and_o_without_security_zero_shot,create_a_s3_bucket_with_bucket_name_mybucket_and_o,run_1,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/create_a_s3_bucket_with_bucket_name_mybucket_and_o_without_security_zero_shot/run_1/main.tf,True,CANDIDATE,PENDING,CONDITIONAL,
