seed_id,source_id,source_name,artifact_path,ai_generated,technical_validation,license_status,selection_status,notes
AIG-00004,SRC-04,Text-to-Terraform,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/configures_aws_as_the_cloud_provider_it_defines_an_with_security_detailed_zero_shot/run_1/main.tf,True,PENDING,CONDITIONAL,CANDIDATE,AI-generated benchmark candidate; generation artifact only
AIG-01536,SRC-04,Text-to-Terraform,slm/pipeline_artifacts/generate___llama-codellama-13b__1_/artifacts/llama-codellama-13b/configures_aws_as_the_cloud_provider_it_defines_an_without_security_zero_shot/run_1/main.tf,True,PENDING,CONDITIONAL,CANDIDATE,AI-generated benchmark candidate; generation artifact only
AIG-00526,SRC-04,Text-to-Terraform,llm/pipeline_artifacts/generate___gemini-2.5-pro__1_/artifacts/gemini-2.5-pro/create_a_s3_bucket_and_an_example_public_access_bl_with_security_detailed_zero_shot/run_1/main.tf,True,PENDING,CONDITIONAL,CANDIDATE,AI-generated benchmark candidate; generation artifact only
AIG-02058,SRC-04,Text-to-Terraform,slm/pipeline_artifacts/generate___llama-magicoder-s-cl-7b__1_/artifacts/llama-magicoder-s-cl-7b/create_a_s3_bucket_and_an_example_public_access_bl_without_security_zero_shot/run_1/main.tf,True,PENDING,CONDITIONAL,CANDIDATE,AI-generated benchmark candidate; generation artifact only
AIG-01054,SRC-04,Text-to-Terraform,llm/pipeline_artifacts/generate___gpt-5.4__1_/artifacts/gpt-5.4/create_an_aws_s3_bucket_and_apply_kms_server_side_with_security_detailed_zero_shot/run_1/main.tf,True,PENDING,CONDITIONAL,CANDIDATE,AI-generated benchmark candidate; generation artifact only
AIG-02586,SRC-04,Text-to-Terraform,slm/pipeline_artifacts/generate___llama-qwen2.5-coder-14b__1_/artifacts/llama-qwen2.5-coder-14b/create_an_aws_s3_bucket_and_apply_kms_server_side_without_security_zero_shot/run_1/main.tf,True,PENDING,CONDITIONAL,CANDIDATE,AI-generated benchmark candidate; generation artifact only
AIG-01570,SRC-04,Text-to-Terraform,slm/pipeline_artifacts/generate___llama-codellama-13b__1_/artifacts/llama-codellama-13b/create_an_aws_s3_bucket_for_cloudgoat_data_storage_with_security_detailed_zero_shot/run_1/main.tf,True,PENDING,CONDITIONAL,CANDIDATE,AI-generated benchmark candidate; generation artifact only
AIG-03102,SRC-04,Text-to-Terraform,slm/pipeline_artifacts/generate___llama-wizardcoder-33b__1_/artifacts/llama-wizardcoder-33b/create_an_aws_s3_bucket_for_cloudgoat_data_storage_without_security_zero_shot/run_1/main.tf,True,PENDING,CONDITIONAL,CANDIDATE,AI-generated benchmark candidate; generation artifact only
AIG-02104,SRC-04,Text-to-Terraform,slm/pipeline_artifacts/generate___llama-magicoder-s-cl-7b__1_/artifacts/llama-magicoder-s-cl-7b/create_an_aws_vpc_resource_with_an_example_cidr_bl_with_security_detailed_zero_shot/run_1/main.tf,True,PENDING,CONDITIONAL,CANDIDATE,AI-generated benchmark candidate; generation artifact only
AIG-00066,SRC-04,Text-to-Terraform,llm/pipeline_artifacts/generate___claude-opus-4-5__1_/artifacts/claude-opus-4-5/create_an_aws_vpc_resource_with_an_example_cidr_bl_without_security_zero_shot/run_1/main.tf,True,PENDING,CONDITIONAL,CANDIDATE,AI-generated benchmark candidate; generation artifact only
