check_id,check_name,scope_status,scope_category,notes
CKV2_AWS_40,Ensure AWS IAM policy does not allow full IAM privileges,IN_SCOPE,CAT-03,Full IAM privileges
CKV2_AWS_5,Ensure that Security Groups are attached to another resource,OUT_OF_SCOPE,,Security-group attachment control outside predefined categories
CKV2_AWS_6,Ensure that S3 bucket has a Public Access block,OUT_OF_SCOPE,,"S3 public-access-block control, not direct public exposure"
CKV2_AWS_60,Ensure RDS instance with copy tags to snapshots is enabled,OUT_OF_SCOPE,,RDS snapshot tag-copy control
CKV2_AWS_61,Ensure that an S3 bucket has a lifecycle configuration,OUT_OF_SCOPE,,S3 lifecycle control
CKV2_AWS_62,Ensure S3 buckets should have event notifications enabled,OUT_OF_SCOPE,,S3 event notification control
CKV_AWS_118,Ensure that enhanced monitoring is enabled for Amazon RDS instances,OUT_OF_SCOPE,,RDS enhanced monitoring control
CKV_AWS_129,Ensure that respective logs of Amazon Relational Database Service (Amazon RDS) are enabled,IN_SCOPE,CAT-08,RDS logging control
CKV_AWS_133,Ensure that RDS instances has backup policy,OUT_OF_SCOPE,,RDS backup policy control
CKV_AWS_144,Ensure that S3 bucket has cross-region replication enabled,OUT_OF_SCOPE,,S3 cross-region replication control
CKV_AWS_145,Ensure that S3 buckets are encrypted with KMS by default,IN_SCOPE,CAT-08,S3 encryption control
CKV_AWS_157,Ensure that RDS instances have Multi-AZ enabled,OUT_OF_SCOPE,,RDS Multi-AZ availability control
CKV_AWS_16,Ensure all data stored in the RDS is securely encrypted at rest,IN_SCOPE,CAT-08,RDS encryption control
CKV_AWS_161,Ensure RDS database has IAM authentication enabled,OUT_OF_SCOPE,,RDS IAM authentication control
CKV_AWS_17,Ensure all data stored in RDS is not publicly accessible,IN_SCOPE,CAT-05,Direct public RDS exposure
CKV_AWS_18,Ensure the S3 bucket has access logging enabled,IN_SCOPE,CAT-08,S3 access logging control
CKV_AWS_20,S3 Bucket has an ACL defined which allows public READ access.,IN_SCOPE,CAT-04,Direct public S3 exposure
CKV_AWS_21,Ensure all data stored in the S3 bucket have versioning enabled,OUT_OF_SCOPE,,S3 versioning control
CKV_AWS_226,Ensure DB instance gets all minor upgrades automatically,OUT_OF_SCOPE,,RDS minor-upgrade control
CKV_AWS_23,Ensure every security group and rule has a description,OUT_OF_SCOPE,,Security-group description/hygiene control
CKV_AWS_24,Ensure no security groups allow ingress from 0.0.0.0:0 to port 22,IN_SCOPE,CAT-06;CAT-07,Unrestricted SSH ingress on port 22
CKV_AWS_273,Ensure access is controlled through SSO and not AWS IAM defined users,OUT_OF_SCOPE,,IAM SSO governance control
CKV_AWS_286,Ensure IAM policies does not allow privilege escalation,IN_SCOPE,CAT-03,Direct privilege-escalation risk
CKV_AWS_287,Ensure IAM policies does not allow credentials exposure,OUT_OF_SCOPE,,IAM credential-exposure control
CKV_AWS_288,Ensure IAM policies does not allow data exfiltration,OUT_OF_SCOPE,,IAM data-exfiltration control
CKV_AWS_289,Ensure IAM policies does not allow permissions management / resource exposure without constraints,IN_SCOPE,CAT-03,Permissions-management/resource-exposure without constraints
CKV_AWS_290,Ensure IAM policies does not allow write access without constraints,OUT_OF_SCOPE,,IAM write-access control
CKV_AWS_293,Ensure that AWS database instances have deletion protection enabled,OUT_OF_SCOPE,,RDS deletion-protection control
CKV_AWS_355,"Ensure no IAM policies documents allow ""*"" as a statement's resource for restrictable actions",IN_SCOPE,CAT-02,IAM wildcard resource scope
CKV_AWS_382,Ensure no security groups allow egress from 0.0.0.0:0 to port -1,OUT_OF_SCOPE,,Security-group unrestricted egress control
CKV_AWS_40,Ensure IAM policies are attached only to groups or roles (Reducing access management complexity may in-turn reduce opportunity for a principal to inadvertently receive or retain excessive privileges.),OUT_OF_SCOPE,,IAM attachment/governance control
CKV_AWS_53,Ensure S3 bucket has block public ACLS enabled,OUT_OF_SCOPE,,S3 public-ACL blocking control
CKV_AWS_54,Ensure S3 bucket has block public policy enabled,OUT_OF_SCOPE,,S3 public-policy blocking control
CKV_AWS_55,Ensure S3 bucket has ignore public ACLs enabled,OUT_OF_SCOPE,,S3 public-ACL ignore control
CKV_AWS_56,Ensure S3 bucket has 'restrict_public_buckets' enabled,OUT_OF_SCOPE,,S3 restrict-public-buckets control
CKV_AWS_62,"Ensure IAM policies that allow full ""*-*"" administrative privileges are not created",IN_SCOPE,CAT-03,Full administrative IAM privileges
CKV_AWS_63,"Ensure no IAM policies documents allow ""*"" as a statement's actions",IN_SCOPE,CAT-01,IAM wildcard action scope
CKV_AWS_70,Ensure S3 bucket does not allow an action with any Principal,OUT_OF_SCOPE,,"Broad S3 principal control, not direct public-exposure finding"
