normalized_finding_id,raw_finding_id,scenario_id,family_id,context_variant,base_seed_id,check_id,check_name,resource_raw,resource_address_norm,resource_type,file_path_raw,file_path_repo,line_start,line_end,severity_raw,severity_class,severity_numeric,scope_status,scope_category,scope_notes,severity_policy_basis,environment,asset_criticality,data_sensitivity
806134a3e1cd8193,8da3b73ae52d23a9,CTX-06-A,CTX-06,context_a,EXT-01,CKV_AWS_63,"Ensure no IAM policies documents allow ""*"" as a statement's actions",aws_iam_policy.target,aws_iam_policy.target,aws_iam_policy,/CTX-06/context_a/main.tf,CTX-06/context_a/main.tf,24,35,,HIGH,3,IN_SCOPE,CAT-01,IAM wildcard action scope,IAM wildcard action scope,dev,low,low
1a76e89c242e8933,8807f0cb6311f77a,CTX-06-A,CTX-06,context_a,EXT-01,CKV_AWS_355,"Ensure no IAM policies documents allow ""*"" as a statement's resource for restrictable actions",aws_iam_policy.target,aws_iam_policy.target,aws_iam_policy,/CTX-06/context_a/main.tf,CTX-06/context_a/main.tf,24,35,,HIGH,3,IN_SCOPE,CAT-02,IAM wildcard resource scope,IAM wildcard resource scope,dev,low,low
abab00d48b328747,ace0adb57bcb6236,CTX-06-A,CTX-06,context_a,EXT-01,CKV_AWS_289,Ensure IAM policies does not allow permissions management / resource exposure without constraints,aws_iam_policy.target,aws_iam_policy.target,aws_iam_policy,/CTX-06/context_a/main.tf,CTX-06/context_a/main.tf,24,35,,HIGH,3,IN_SCOPE,CAT-03,Permissions-management/resource-exposure without constraints,Permissions-management/resource-exposure without constraints,dev,low,low
0903df36fefcf72f,8d9b2165aaf04e38,CTX-06-A,CTX-06,context_a,EXT-01,CKV_AWS_286,Ensure IAM policies does not allow privilege escalation,aws_iam_policy.target,aws_iam_policy.target,aws_iam_policy,/CTX-06/context_a/main.tf,CTX-06/context_a/main.tf,24,35,,CRITICAL,4,IN_SCOPE,CAT-03,Direct privilege-escalation risk,Direct privilege-escalation risk,dev,low,low
1428ed8c3331d09e,477d5c05a6cb02e5,CTX-06-A,CTX-06,context_a,EXT-01,CKV_AWS_62,"Ensure IAM policies that allow full ""*-*"" administrative privileges are not created",aws_iam_policy.target,aws_iam_policy.target,aws_iam_policy,/CTX-06/context_a/main.tf,CTX-06/context_a/main.tf,24,35,,CRITICAL,4,IN_SCOPE,CAT-03,Full administrative IAM privileges,Full administrative IAM privileges,dev,low,low
8a7e49d46021b44b,48ccbed177c4f1c0,CTX-06-B,CTX-06,context_b,EXT-01,CKV_AWS_63,"Ensure no IAM policies documents allow ""*"" as a statement's actions",aws_iam_policy.target,aws_iam_policy.target,aws_iam_policy,/CTX-06/context_b/main.tf,CTX-06/context_b/main.tf,24,35,,HIGH,3,IN_SCOPE,CAT-01,IAM wildcard action scope,IAM wildcard action scope,prod,high,high
be50b85d647fc701,6145f9dc3e730484,CTX-06-B,CTX-06,context_b,EXT-01,CKV_AWS_355,"Ensure no IAM policies documents allow ""*"" as a statement's resource for restrictable actions",aws_iam_policy.target,aws_iam_policy.target,aws_iam_policy,/CTX-06/context_b/main.tf,CTX-06/context_b/main.tf,24,35,,HIGH,3,IN_SCOPE,CAT-02,IAM wildcard resource scope,IAM wildcard resource scope,prod,high,high
7d89dac8827d6c7d,93fe060efbe8c9e5,CTX-06-B,CTX-06,context_b,EXT-01,CKV_AWS_289,Ensure IAM policies does not allow permissions management / resource exposure without constraints,aws_iam_policy.target,aws_iam_policy.target,aws_iam_policy,/CTX-06/context_b/main.tf,CTX-06/context_b/main.tf,24,35,,HIGH,3,IN_SCOPE,CAT-03,Permissions-management/resource-exposure without constraints,Permissions-management/resource-exposure without constraints,prod,high,high
2c196ec32804403e,a399104d7c90e88b,CTX-06-B,CTX-06,context_b,EXT-01,CKV_AWS_286,Ensure IAM policies does not allow privilege escalation,aws_iam_policy.target,aws_iam_policy.target,aws_iam_policy,/CTX-06/context_b/main.tf,CTX-06/context_b/main.tf,24,35,,CRITICAL,4,IN_SCOPE,CAT-03,Direct privilege-escalation risk,Direct privilege-escalation risk,prod,high,high
9770898355765039,b194e2d12714c925,CTX-06-B,CTX-06,context_b,EXT-01,CKV_AWS_62,"Ensure IAM policies that allow full ""*-*"" administrative privileges are not created",aws_iam_policy.target,aws_iam_policy.target,aws_iam_policy,/CTX-06/context_b/main.tf,CTX-06/context_b/main.tf,24,35,,CRITICAL,4,IN_SCOPE,CAT-03,Full administrative IAM privileges,Full administrative IAM privileges,prod,high,high
c17fde852ae07d8d,836e40e8b4fe403b,CTX-07-A,CTX-07,context_a,EXT-03,CKV_AWS_17,Ensure all data stored in RDS is not publicly accessible,aws_db_instance.target,aws_db_instance.target,aws_db_instance,/CTX-07/context_a/main.tf,CTX-07/context_a/main.tf,20,30,,HIGH,3,IN_SCOPE,CAT-05,Direct public RDS exposure,Direct public RDS exposure,dev,low,low
76268c8afe370188,061fb00a339c16e6,CTX-07-A,CTX-07,context_a,EXT-03,CKV_AWS_129,Ensure that respective logs of Amazon Relational Database Service (Amazon RDS) are enabled,aws_db_instance.target,aws_db_instance.target,aws_db_instance,/CTX-07/context_a/main.tf,CTX-07/context_a/main.tf,20,30,,MEDIUM,2,IN_SCOPE,CAT-08,RDS logging control,Missing RDS logging control,dev,low,low
f507fe74919d9c1b,41640528a0045288,CTX-07-B,CTX-07,context_b,EXT-03,CKV_AWS_17,Ensure all data stored in RDS is not publicly accessible,aws_db_instance.target,aws_db_instance.target,aws_db_instance,/CTX-07/context_b/main.tf,CTX-07/context_b/main.tf,20,30,,HIGH,3,IN_SCOPE,CAT-05,Direct public RDS exposure,Direct public RDS exposure,prod,high,high
af77ed7ce0b2abd1,534d2beb69e028e3,CTX-07-B,CTX-07,context_b,EXT-03,CKV_AWS_129,Ensure that respective logs of Amazon Relational Database Service (Amazon RDS) are enabled,aws_db_instance.target,aws_db_instance.target,aws_db_instance,/CTX-07/context_b/main.tf,CTX-07/context_b/main.tf,20,30,,MEDIUM,2,IN_SCOPE,CAT-08,RDS logging control,Missing RDS logging control,prod,high,high
6d183fccd3df5fb5,0af0b8fd066516c1,CTX-08-A,CTX-08,context_a,EXT-04,CKV_AWS_129,Ensure that respective logs of Amazon Relational Database Service (Amazon RDS) are enabled,aws_db_instance.target,aws_db_instance.target,aws_db_instance,/CTX-08/context_a/main.tf,CTX-08/context_a/main.tf,26,36,,MEDIUM,2,IN_SCOPE,CAT-08,RDS logging control,Missing RDS logging control,dev,low,low
fc474a2812a36ce5,a3b444826817ca61,CTX-08-A,CTX-08,context_a,EXT-04,CKV_AWS_16,Ensure all data stored in the RDS is securely encrypted at rest,aws_db_instance.target,aws_db_instance.target,aws_db_instance,/CTX-08/context_a/main.tf,CTX-08/context_a/main.tf,26,36,,MEDIUM,2,IN_SCOPE,CAT-08,RDS encryption control,Missing RDS encryption control,dev,low,low
87b743738156168c,335f44891454d1e0,CTX-08-B,CTX-08,context_b,EXT-04,CKV_AWS_129,Ensure that respective logs of Amazon Relational Database Service (Amazon RDS) are enabled,aws_db_instance.target,aws_db_instance.target,aws_db_instance,/CTX-08/context_b/main.tf,CTX-08/context_b/main.tf,26,36,,MEDIUM,2,IN_SCOPE,CAT-08,RDS logging control,Missing RDS logging control,prod,high,high
