scenario_id,annotator_id,rank,check_id,resource,relevance,reason
SCN-007,A1,1,CKV_AWS_24,aws_security_group.admin_007,3,"Directly represents unrestricted SSH ingress on TCP port 22 from 0.0.0.0/0."
SCN-007,A1,2,CKV2_AWS_5,aws_security_group.admin_007,2,"Security group is not attached to another resource; relevant to configuration completeness but less direct than unrestricted ingress."
SCN-007,A1,3,CKV_AWS_23,aws_security_group.admin_007,1,"Missing security-group/rule description is primarily a hardening or metadata issue."
SCN-008,A1,1,CKV_AWS_24,aws_security_group.admin_008,3,"Directly represents unrestricted SSH ingress on TCP port 22 from 0.0.0.0/0."
SCN-008,A1,2,CKV2_AWS_5,aws_security_group.admin_008,2,"Security group is not attached to another resource; relevant to configuration completeness but less direct than unrestricted ingress."
SCN-008,A1,3,CKV_AWS_23,aws_security_group.admin_008,1,"Missing security-group/rule description is primarily a hardening or metadata issue."
SCN-005,A1,1,CKV_AWS_286,aws_iam_user_policy.privilege_escalation_005,3,"Direct Checkov finding for privilege escalation."
SCN-005,A1,2,CKV_AWS_289,aws_iam_user_policy.privilege_escalation_005,2,"Concerns permissions management or resource exposure without constraints."
SCN-005,A1,3,CKV_AWS_355,aws_iam_user_policy.privilege_escalation_005,1,"Wildcard resource scope increases exposure of a restrictable IAM action."
SCN-005,A1,4,CKV_AWS_40,aws_iam_user_policy.privilege_escalation_005,0,"IAM policy attachment to a user is primarily an access-management complexity/control issue."
SCN-005,A1,5,CKV_AWS_273,aws_iam_user.escalation_target_005,0,"IAM user versus SSO is primarily an identity-governance control rather than the direct privilege-escalation path."
SCN-006,A1,1,CKV_AWS_286,aws_iam_user_policy.privilege_escalation_006,3,"Direct Checkov finding for privilege escalation."
SCN-006,A1,2,CKV_AWS_289,aws_iam_user_policy.privilege_escalation_006,2,"Concerns permissions management or resource exposure without constraints."
SCN-006,A1,3,CKV_AWS_355,aws_iam_user_policy.privilege_escalation_006,1,"Wildcard resource scope increases exposure of a restrictable IAM action."
SCN-006,A1,4,CKV_AWS_40,aws_iam_user_policy.privilege_escalation_006,0,"IAM policy attachment to a user is primarily an access-management complexity/control issue."
SCN-006,A1,5,CKV_AWS_273,aws_iam_user.escalation_target_006,0,"IAM user versus SSO is primarily an identity-governance control rather than the direct privilege-escalation path."
